episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
145,-353.3200000000001,75,0.5297499999999999,12.815694658379806,9901,42,37,12.24999999999979,8
146,-251.78799999999995,41,0.5278025,15.438170146942138,9942,26,15,9.467999999999854,8
147,-153.77699999999993,62,0.5248575,13.582988649606705,10004,35,17,11.286999999999804,8
148,-68.25400000000008,48,0.5225774999999999,16.448843320210774,10052,27,4,8.043999999999869,8
149,-380.51400000000007,52,0.5201075000000001,13.416591350848858,10104,35,33,10.473999999999823,8
150,-219.23999999999995,50,0.5177324999999999,14.812671105066935,10154,29,16,8.769999999999898,8
151,-89.86900000000003,59,0.51493,13.067667516072591,10213,30,7,10.038999999999838,8
152,63.56299999999999,62,0.5119849999999999,15.183875846862794,10275,35,3,10.236999999999854,8
153,-198.511,45,0.5098475,13.174307902654013,10320,29,15,8.470999999999863,8
154,-214.864,57,0.5071399999999999,13.61418206351144,10377,31,18,9.763999999999834,8
155,-106.58400000000016,80,0.50334,13.475285625457763,10457,44,22,12.30399999999978,8
156,-129.37199999999999,56,0.50068,13.804279940468925,10513,31,11,10.031999999999831,8
157,-290.01199999999994,54,0.4981150000000001,13.853688973646898,10567,32,23,9.431999999999842,8
158,-165.181,54,0.49555000000000005,14.022757155554634,10621,33,16,9.400999999999815,8
159,-71.69400000000005,62,0.49260499999999996,12.939184379577636,10683,36,13,10.023999999999827,8
160,-10.980000000000075,60,0.48975500000000005,14.75351791381836,10743,35,8,10.219999999999823,8
161,-235.883,62,0.48680999999999996,12.96708869934082,10805,30,18,9.102999999999843,8
162,-639.948,85,0.48277250000000005,13.487057799384708,10890,50,62,14.347999999999733,8
163,-239.35599999999994,59,0.47997,13.424522590637206,10949,34,21,10.455999999999822,8
164,-139.40199999999993,47,0.47773750000000004,13.684466361999512,10996,30,12,9.341999999999839,8
165,-138.43899999999996,39,0.475885,19.37642584906684,11035,25,7,8.428999999999863,8
166,-428.087,80,0.4720850000000001,16.31383352279663,11115,39,39,11.256999999999795,8
167,6.063000000000024,42,0.47009,14.067235859957608,11157,29,1,8.726999999999856,8
168,-60.831000000000046,53,0.46757250000000006,13.48644836132343,11210,36,12,10.190999999999857,8
169,4.3190000000000595,57,0.464865,13.028494494301933,11267,34,6,10.010999999999834,8
170,-420.2579999999999,46,0.46268,13.307759205500284,11313,31,31,9.827999999999838,8
171,-281.273,56,0.46002,13.248151915413994,11369,33,24,10.622999999999823,8
172,-180.26,53,0.45750250000000003,14.477499961853027,11422,33,17,9.479999999999839,8
173,-122.74299999999997,59,0.4547000000000001,13.600928052266438,11481,38,18,10.92299999999981,8
174,-64.202,50,0.452325,13.670706828435263,11531,30,7,9.171999999999855,8
175,-304.55800000000005,52,0.4498550000000001,16.2004635150616,11583,28,21,9.497999999999841,8
176,-378.95000000000005,44,0.44776499999999997,14.769695628773082,11627,29,27,8.919999999999852,8
177,-25.08499999999998,53,0.4452475,14.473610230854579,11680,34,8,9.834999999999914,8
178,-176.76599999999985,59,0.4424450000000001,13.260339532579694,11739,33,17,9.465999999999836,8
179,-116.48500000000001,56,0.439785,13.335544381822858,11795,36,16,10.644999999999799,8
180,-574.1530000000001,63,0.43679250000000003,14.720292150974274,11858,35,44,10.552999999999814,8
181,-521.5830000000002,74,0.4332775,16.273531311436702,11932,30,37,9.392999999999835,8
182,-1185.7069999999999,88,0.4290975,15.012936700474132,12020,41,93,12.606999999999765,7
183,-312.5,51,0.426675,18.60946226119995,12071,28,21,9.819999999999839,8
184,-235.008,39,0.4248225,15.746514701843262,12110,28,16,8.597999999999843,8
185,-150.24400000000009,63,0.42183000000000004,15.663425922393799,12173,35,17,9.293999999999839,8
186,-5.848999999999904,65,0.4187425,15.068741500377655,12238,40,13,10.738999999999807,8
187,-209.81799999999998,55,0.41613,15.710861682891846,12293,32,18,9.337999999999862,8
188,-287.60400000000004,51,0.4137075,14.84683975806603,12344,30,21,10.453999999999803,8
189,-175.68600000000006,55,0.411095,16.349201862628643,12399,31,15,9.71599999999986,8
190,-189.09799999999996,48,0.40881500000000004,14.54024346669515,12447,28,13,8.747999999999854,8
191,-183.034,59,0.4060125000000001,16.152735646565755,12506,36,20,10.763999999999811,8
192,-180.031,42,0.40401750000000003,16.551801334727894,12548,27,11,8.610999999999862,8
193,10.974000000000046,43,0.4019750000000001,17.80265369415283,12591,29,1,9.005999999999865,8
194,-33.47399999999999,37,0.4002175000000001,13.268247509002686,12628,26,1,8.453999999999892,8
195,-235.945,49,0.39788999999999997,13.790962219238281,12677,33,21,9.204999999999847,8
196,-369.173,62,0.394945,14.441332244873047,12739,37,33,11.4629999999998,8
197,-346.106,46,0.39276,16.430495103200276,12785,28,23,9.56599999999984,8
198,-220.558,50,0.390385,15.434772729873657,12835,30,17,10.007999999999859,8
199,-3.787000000000006,40,0.38848499999999997,15.07340145111084,12875,29,2,8.786999999999859,8
200,-319.404,59,0.38568250000000004,14.583577950795492,12934,30,24,9.253999999999841,8
201,-696.3230000000001,77,0.38202500000000006,14.532696874518143,13011,45,62,13.022999999999774,8
202,-460.476,55,0.37941250000000004,18.84913764681135,13066,32,35,9.835999999999823,8
203,-72.52800000000005,49,0.3770850000000001,14.807069698969523,13115,33,10,10.397999999999865,8
204,-199.52800000000008,50,0.37471,15.84807381263146,13165,32,18,9.477999999999838,8
205,-441.013,56,0.37205,15.859726292746407,13221,33,35,10.952999999999799,8
206,-339.49899999999985,76,0.3684400000000001,16.41156422464471,13297,40,34,11.228999999999798,8
207,-334.14300000000003,47,0.3662075,16.678502798080444,13344,31,26,9.102999999999852,8
208,-100.98899999999992,61,0.36331,14.869304974873861,13405,40,19,10.56899999999982,8
209,-385.16500000000013,66,0.360175,16.232370793819427,13471,32,30,9.684999999999825,8
210,-368.7410000000001,67,0.35699250000000005,14.42641544342041,13538,37,33,10.750999999999813,8
211,-99.61800000000005,62,0.35404749999999996,15.63530570268631,13600,35,13,10.747999999999795,8
212,-354.3800000000001,54,0.35148250000000003,15.23299371279203,13654,29,25,8.779999999999857,8
213,-190.40099999999995,57,0.34877500000000006,15.827765601021904,13711,27,12,9.140999999999838,8
214,-258.77700000000004,50,0.34640000000000004,17.62534970503587,13761,29,19,8.666999999999856,8
215,-92.50099999999993,70,0.343075,14.388979406917796,13831,39,17,10.370999999999812,8
216,-81.27099999999996,62,0.34013000000000004,14.317029237747192,13893,36,14,11.170999999999804,8
217,-184.943,54,0.337565,15.95047745337853,13947,32,17,9.87299999999982,8
218,-226.9,40,0.335665,17.56373748779297,13987,25,12,8.749999999999858,8
219,-121.61399999999998,47,0.3334325,18.184708038965862,14034,34,14,9.313999999999844,8
220,-435.4229999999999,45,0.331295,17.225793491710316,14079,22,23,8.642999999999859,8
221,-64.37500000000009,51,0.3288725,16.69725330059345,14130,32,9,9.324999999999843,8
222,-601.4830000000002,50,0.3264975000000001,15.963079599233774,14180,28,40,8.97299999999985,8
223,-324.7420000000001,53,0.32398000000000005,17.214617509108322,14233,30,24,9.161999999999868,8
224,-63.369999999999976,41,0.32203250000000005,15.187019634246827,14274,27,4,8.329999999999846,8
225,-159.56799999999998,55,0.31942000000000004,15.53228235244751,14329,31,13,9.997999999999822,8
226,-323.06799999999987,65,0.3163325,14.629219830036163,14394,31,24,10.177999999999841,8
227,-619.383,67,0.31315000000000004,17.066551320693073,14461,36,48,11.062999999999809,8
228,-326.221,48,0.31087,17.053527275721233,14509,31,25,8.870999999999855,8
229,-363.624,44,0.30878000000000005,17.035849397832695,14553,25,22,8.56399999999986,8
230,-489.5980000000001,86,0.30469500000000005,16.266263371422177,14639,36,40,10.82799999999982,8
231,-121.03000000000007,54,0.30213,18.488851411002024,14693,32,12,9.939999999999849,8
232,-245.49,53,0.29961250000000006,17.22179999718299,14746,35,24,10.45999999999982,8
233,-417.2399999999999,49,0.297285,18.97351574897766,14795,33,32,9.909999999999831,8
234,-459.461,57,0.29457749999999994,16.659822082519533,14852,27,30,8.970999999999844,8
235,-183.594,50,0.29220250000000003,18.80752428372701,14902,26,11,8.493999999999858,8
236,-33.369000000000014,41,0.29025500000000004,16.49359064102173,14943,26,1,8.308999999999864,8
237,-123.55399999999996,44,0.2881650000000001,18.227855162187055,14987,28,9,8.503999999999852,8
238,-390.99,46,0.28598,18.025805075963337,15033,25,23,9.23999999999984,8
239,-182.97500000000002,58,0.28322500000000006,18.161644663129533,15091,33,17,10.374999999999819,8
240,-438.937,43,0.2811825,15.956318075006658,15134,28,30,8.886999999999857,8
241,-102.35399999999993,51,0.27876,17.35071512369009,15185,34,13,9.693999999999834,8
242,-33.271000000000015,37,0.27700250000000004,16.19072702195909,15222,27,2,8.270999999999868,8
243,-1479.7509999999995,91,0.27268000000000003,17.367536544799805,15313,38,112,13.380999999999759,7
244,-280.72200000000004,65,0.2695925,16.937794864177704,15378,33,24,9.741999999999827,8
245,-681.548,60,0.2667425,15.18878313700358,15438,36,53,9.747999999999891,8
246,-249.63000000000008,43,0.26470000000000005,16.478209842335094,15481,25,14,8.759999999999845,8
247,5.054999999999964,56,0.26203999999999994,18.1868542943682,15537,29,1,8.674999999999878,8
248,-415.875,63,0.2590475,17.56887459754944,15600,33,33,9.924999999999821,8
249,-123.612,37,0.25729,16.75760481092665,15637,25,6,8.591999999999857,8
250,-817.4970000000001,85,0.2532525,17.424605596633185,15722,33,59,9.88699999999982,8
251,26.666999999999973,44,0.25116250000000007,15.364153428511186,15766,31,2,8.292999999999857,8
252,-396.5530000000001,71,0.24779000000000007,17.5179869333903,15837,31,29,9.302999999999837,8
253,-271.5900000000001,87,0.24365749999999997,15.921630469235508,15924,28,18,9.299999999999843,8
254,11.968999999999909,40,0.24175749999999996,17.094318771362303,15964,28,0,8.010999999999877,8
255,-138.57800000000003,43,0.239715,17.242179679870606,16007,24,6,8.507999999999859,8
256,-161.37599999999998,66,0.23658,20.266303174635944,16073,41,24,10.93599999999981,8
257,-64.20400000000004,45,0.2344425000000001,16.618418953635476,16118,29,6,9.163999999999872,8
258,-243.07500000000005,41,0.23249500000000012,18.89586296081543,16159,23,12,7.974999999999863,8
259,-16.757000000000126,57,0.22978750000000003,18.48069814046224,16216,36,9,9.486999999999844,8
260,-189.512,53,0.22726999999999997,15.970299794123722,16269,33,17,10.671999999999812,8
