episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
182,-48.01299999999998,33,0.6039766666666666,0.8494113832712173,6254,25,1,8.012999999999876,8
183,-77.95699999999997,30,0.6020766666666667,0.98171017318964,6284,22,0,7.9569999999998835,8
184,-78.00000000000006,32,0.60005,0.8403439894318581,6316,24,2,7.999999999999864,8
185,-3.028000000000077,36,0.59777,0.9809977544678582,6352,28,1,8.027999999999873,8
186,-3.029000000000025,35,0.5955533333333334,1.2132530733942986,6387,27,0,8.028999999999872,8
187,-23.3540000000001,35,0.5933366666666666,1.0409253703223333,6422,27,1,7.953999999999898,8
188,-63.00400000000003,33,0.5912466666666667,1.1684840843081474,6455,24,1,8.003999999999852,8
189,-17.992000000000004,36,0.5889666666666666,0.9934525887171427,6491,27,1,7.991999999999931,8
190,-3.0160000000000196,35,0.58675,1.1192555096414354,6526,27,0,8.01599999999987,8
191,11.971999999999994,36,0.58447,1.0026156902313232,6562,28,0,8.027999999999869,8
192,-48.02400000000006,32,0.5824433333333334,1.2634243369102478,6594,24,0,8.023999999999875,8
193,-48.004999999999995,32,0.5804166666666667,0.8953220173716545,6626,24,0,8.004999999999875,8
194,-93.01099999999988,33,0.5783266666666667,0.8911314979195595,6659,24,3,8.010999999999898,8
195,-18.020999999999987,35,0.57611,1.0381698045465682,6694,27,1,8.02099999999987,8
196,-33.02799999999998,34,0.5739566666666667,1.2523197068108454,6728,26,1,8.027999999999889,8
197,-75.03899999999993,34,0.5718033333333334,1.1226161122322083,6762,25,2,8.038999999999872,8
198,-62.99200000000002,33,0.5697133333333333,0.933945506811142,6795,25,2,7.991999999999915,8
199,-18.023000000000025,35,0.5674966666666668,0.9290920827123854,6830,27,1,8.022999999999893,8
200,12.024999999999977,36,0.5652166666666667,0.9595249427689446,6866,28,0,7.974999999999875,8
201,-63.014999999999986,32,0.5631900000000001,1.0640374533832073,6898,24,1,8.014999999999876,8
202,-32.994000000000014,36,0.56091,1.0054545667436388,6934,27,2,7.993999999999864,8
203,-48.02800000000002,32,0.5588833333333334,0.9617311209440231,6966,24,0,8.027999999999935,8
204,-3.0190000000000623,35,0.5566666666666666,1.2354586952262454,7001,27,0,8.018999999999869,8
205,-78.03200000000001,31,0.5547033333333333,1.4143973663449287,7032,23,1,8.031999999999877,8
206,26.965000000000053,37,0.55236,0.9848697748449113,7069,29,0,8.034999999999876,8
207,-53.20900000000003,37,0.5500166666666666,1.110799683464898,7106,28,4,8.008999999999874,8
208,-33.02199999999996,37,0.5476733333333333,0.8970205518934462,7143,28,3,8.021999999999876,8
209,-78.01499999999996,35,0.5454566666666667,0.9742926061153412,7178,27,5,8.014999999999867,8
210,-48.02199999999999,32,0.54343,1.0612184703350067,7210,24,0,8.021999999999874,8
211,-108.01799999999997,32,0.5414033333333333,1.0573340505361557,7242,24,4,8.017999999999857,8
212,-62.889999999999986,32,0.5393766666666666,0.9141424894332886,7274,24,1,7.8899999999998744,8
213,-33.02899999999996,34,0.5372233333333334,0.8795483178562589,7308,26,1,8.028999999999874,8
214,-48.01599999999996,33,0.5351333333333333,1.177656963467598,7341,25,1,8.01599999999987,8
215,36.916000000000025,38,0.5327266666666667,0.9700306918885973,7379,30,0,7.983999999999871,8
216,-62.97399999999996,35,0.53051,1.115072574880388,7414,26,3,7.973999999999874,8
217,-123.00100000000003,32,0.5284833333333334,1.0334855057299137,7446,23,4,8.000999999999861,8
218,-47.95600000000002,34,0.52633,0.9401307238472832,7480,25,1,7.95599999999988,8
219,36.884000000000015,39,0.52386,0.7923065854443444,7519,31,1,8.01599999999987,8
220,-47.893000000000036,32,0.5218333333333334,1.163308296352625,7551,24,0,7.892999999999876,8
221,56.98499999999997,39,0.5193633333333334,1.0789778411388398,7590,31,0,8.014999999999871,8
222,-83.53300000000003,32,0.5173366666666667,0.9118797034025192,7622,23,1,8.032999999999873,8
223,-83.434,30,0.5154366666666668,0.9209763556718826,7652,22,0,8.033999999999892,8
224,-18.02499999999995,36,0.5131566666666667,1.1124031609959073,7688,28,2,8.024999999999853,8
225,-33.00199999999998,33,0.5110666666666667,1.0233488604426384,7721,25,0,8.001999999999866,8
226,-93.03900000000004,31,0.5091033333333332,0.9561978802084923,7752,22,1,8.038999999999888,8
227,-23.307000000000016,34,0.50695,0.8983519710600376,7786,26,0,8.006999999999874,8
228,-18.01599999999995,35,0.5047333333333334,1.0656524300575256,7821,27,1,8.01599999999987,8
229,-48.01599999999999,35,0.5025166666666667,1.1671532326274447,7856,26,2,8.015999999999874,8
230,-53.91900000000001,32,0.50049,1.052233774214983,7888,24,0,8.018999999999904,8
231,11.973000000000013,36,0.49821000000000004,0.8807786405086517,7924,28,0,8.026999999999884,8
232,-2.9979999999999905,35,0.4959933333333334,1.1177342608571053,7959,27,0,7.997999999999872,8
233,-123.01400000000007,31,0.4940300000000001,1.1138713918626308,7990,23,4,8.013999999999868,8
234,-48.02199999999996,33,0.49193999999999993,1.3385435342788696,8023,25,1,8.021999999999881,8
235,-77.981,31,0.4899766666666666,1.1667642667889595,8054,23,1,7.980999999999872,8
236,-63.024,31,0.4880133333333333,1.0810151398181915,8085,23,0,8.023999999999875,8
237,-138.00300000000001,36,0.48573333333333335,1.2777169081899855,8121,28,10,8.002999999999858,8
238,-38.323999999999984,34,0.48358,1.1184904985129833,8155,26,1,8.023999999999868,8
239,-48.00000000000006,34,0.4814266666666668,1.0065280066596136,8189,26,2,7.999999999999876,8
240,-48.02200000000009,34,0.47927333333333333,1.0144574418663979,8223,25,1,8.021999999999874,8
241,-18.011000000000053,35,0.4770566666666667,1.0576700700653925,8258,27,1,8.010999999999875,8
242,-33.030000000000115,33,0.47496666666666676,1.191119696944952,8291,25,0,8.02999999999987,8
243,-93.00500000000007,32,0.47294,0.9022090882062912,8323,24,3,8.00499999999991,8
244,-77.944,31,0.4709766666666667,0.9392182901501656,8354,23,1,7.943999999999874,8
245,11.973999999999933,37,0.46863333333333335,1.025780373149448,8391,29,1,8.025999999999957,8
246,-48.01200000000003,33,0.4665433333333333,0.9973580539226532,8424,25,1,8.01199999999987,8
247,-48.027,33,0.4644533333333334,1.1607720106840134,8457,25,1,8.026999999999898,8
248,-38.50500000000008,35,0.46223666666666663,1.169855495293935,8492,27,2,8.00499999999987,8
249,12.006999999999962,39,0.45976666666666666,0.8838768005371094,8531,30,2,7.992999999999869,8
250,-18.027,35,0.4575500000000001,0.8107748760117425,8566,27,1,8.026999999999873,8
251,-48.02300000000001,37,0.45520666666666665,1.0259587897194757,8603,28,4,8.022999999999861,8
252,11.967999999999876,36,0.4529266666666667,1.0139991806613073,8639,28,0,8.031999999999886,8
253,-63.010000000000005,33,0.4508366666666668,0.774109638399548,8672,25,2,8.009999999999872,8
254,-77.99799999999999,33,0.4487466666666666,0.8406636118888855,8705,25,3,7.997999999999871,8
255,-78.00500000000005,32,0.44672,1.0046417638659477,8737,24,2,8.004999999999868,8
256,12.067000000000007,36,0.44444000000000006,0.8612990511788262,8773,28,0,7.932999999999877,8
257,-78.01799999999999,31,0.44247666666666674,0.8898609802126884,8804,23,1,8.017999999999914,8
258,-173.09700000000004,32,0.44045,0.7247465774416924,8836,24,8,7.996999999999856,8
259,-3.0230000000000246,35,0.43823333333333336,0.9428097680211067,8871,27,0,8.022999999999882,8
260,-48.017000000000024,34,0.43608,0.9270553920004103,8905,26,2,8.016999999999868,8
261,26.98299999999992,37,0.43373666666666677,0.913536528746287,8942,29,0,8.016999999999877,8
262,-83.548,34,0.4315833333333333,0.9922425283326043,8976,25,3,7.947999999999875,8
263,11.982000000000056,36,0.42930333333333337,1.2408179706997342,9012,28,0,8.017999999999883,8
264,-113.416,32,0.42727666666666675,1.135007843375206,9044,23,3,8.015999999999874,8
265,-2.992000000000047,37,0.4249333333333334,1.1941972772280376,9081,29,2,7.991999999999865,8
266,-3.002999999999986,36,0.4226533333333333,0.9651195274458991,9117,28,1,8.002999999999913,8
267,-63.00299999999993,33,0.4205633333333334,1.1756960302591324,9150,25,2,8.00299999999992,8
268,-33.03600000000006,33,0.41847333333333336,1.0728171467781067,9183,25,0,8.035999999999884,8
269,71.98500000000001,40,0.41594,1.0135602414608003,9223,32,0,8.014999999999871,8
270,-47.95600000000002,35,0.41372333333333333,1.1342299779256184,9258,26,2,7.955999999999879,8
271,-123.035,31,0.41176,0.9329574778676033,9289,23,4,8.034999999999865,8
272,-83.90500000000002,31,0.4097966666666667,1.2571226879954338,9320,23,1,8.004999999999866,8
273,26.96199999999976,37,0.40745333333333333,0.8280733029047648,9357,29,0,8.037999999999936,8
274,-2.992000000000047,36,0.4051733333333334,0.7847979433006711,9393,28,1,7.991999999999873,8
275,-32.994999999999976,35,0.40295666666666674,1.0831780433654785,9428,26,1,7.994999999999876,8
276,-167.994,32,0.40093,1.2224974036216736,9460,24,8,7.993999999999877,8
277,-77.9900000000001,30,0.39903,1.0834851946149553,9490,22,0,7.989999999999891,8
278,-33.010999999999996,35,0.39681333333333335,0.9447656008932326,9525,27,2,8.010999999999873,8
279,-33.01799999999997,33,0.3947233333333333,1.0062051936984062,9558,25,0,8.017999999999873,8
280,-47.99700000000004,36,0.39244333333333337,0.9979316525989108,9594,28,4,7.99699999999986,8
281,42.025999999999925,38,0.3900366666666667,0.792906853556633,9632,30,0,7.9739999999998785,8
282,-32.993000000000094,33,0.38794666666666666,1.1251232624053955,9665,25,0,7.992999999999871,8
283,-3.026000000000124,35,0.38573000000000013,1.0965758628315396,9700,27,0,8.025999999999879,8
284,-48.01799999999997,34,0.3835766666666667,0.7983755543828011,9734,26,2,8.017999999999875,8
285,-78.00900000000001,32,0.38155000000000006,1.0617516189813614,9766,24,2,8.008999999999876,8
286,-2.9419999999999646,36,0.37927,0.7884770035743713,9802,28,1,7.941999999999875,8
287,-78.00900000000003,34,0.37711666666666677,0.8448750707838271,9836,26,4,8.008999999999865,8
288,-78.01600000000003,33,0.3750266666666666,0.8905624151229858,9869,25,3,8.015999999999874,8
289,-62.97699999999992,33,0.3729366666666667,0.8011432625353336,9902,25,2,7.976999999999912,8
290,6.290999999999997,36,0.37065666666666675,1.1251796417766147,9938,28,0,8.008999999999878,8
291,-24.51899999999999,34,0.3685033333333334,0.7935867309570312,9972,26,0,8.018999999999942,8
292,-138.03300000000002,36,0.36622333333333335,0.8934303058518304,10008,28,10,8.032999999999873,8
