episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
106,-3.0039999999999907,35,0.7683266666666666,1.1012869998812675,3659,27,0,8.003999999999877,8
107,-18.016000000000048,34,0.7661733333333334,0.8950077692667643,3693,26,0,8.015999999999872,8
108,-3.0220000000000056,37,0.76383,1.1865506569544475,3730,29,2,8.021999999999867,8
109,11.981999999999942,36,0.76155,1.056927329964108,3766,28,0,8.01799999999992,8
110,26.98699999999998,37,0.7592066666666667,0.9970837798383501,3803,29,0,8.012999999999874,8
111,12.023000000000025,36,0.7569266666666666,0.7072792881064944,3839,28,0,7.976999999999887,8
112,-62.922,32,0.7549,0.8630280196666718,3871,24,1,7.921999999999888,8
113,-77.98999999999997,35,0.7526833333333334,1.0701610181066725,3906,27,5,7.9899999999998474,8
114,-93.00200000000001,30,0.7507833333333334,0.9521264582872391,3936,22,1,8.001999999999871,8
115,-3.0059999999999434,35,0.7485666666666666,1.0820841640233994,3971,27,0,8.0059999999999,8
116,-18.02600000000004,34,0.7464133333333334,1.105240719185935,4005,26,0,8.025999999999884,8
117,-123.01000000000002,31,0.7444500000000001,1.1350733619183302,4036,22,3,8.009999999999872,8
118,27.027000000000044,37,0.7421066666666667,1.3211874100897048,4073,29,0,7.972999999999883,8
119,-18.01600000000002,34,0.7399533333333334,1.06883405148983,4107,26,0,8.015999999999877,8
120,46.767999999999944,39,0.7374833333333334,1.1301139414310455,4146,31,0,8.03199999999986,8
121,-218.07100000000003,29,0.7356466666666667,1.1700848170689173,4175,21,8,7.970999999999875,8
122,11.973000000000013,36,0.7333666666666667,1.2167196306917403,4211,28,0,8.026999999999873,8
123,26.988999999999997,37,0.7310233333333334,1.03973481208086,4248,29,0,8.010999999999871,8
124,-33.000999999999976,34,0.72887,0.8922298811376095,4282,26,1,8.000999999999868,8
125,-33.00900000000007,33,0.72678,0.9136115983128548,4315,25,0,8.008999999999876,8
126,-17.99599999999998,35,0.7245633333333333,0.7404789593484666,4350,27,1,7.995999999999869,8
127,-63.025000000000006,32,0.7225366666666667,0.9532797709107399,4382,24,1,8.02499999999989,8
128,-47.98300000000012,33,0.7204466666666667,0.8689693063497543,4415,25,1,7.98299999999987,8
129,26.982999999999876,37,0.7181033333333333,0.9040026545524598,4452,29,0,8.016999999999879,8
130,-32.96400000000003,33,0.7160133333333334,0.8238245025277138,4485,25,0,7.9639999999998885,8
131,-38.227000000000004,35,0.7137966666666666,0.7066574560271369,4520,26,1,8.026999999999871,8
132,-33.00999999999999,34,0.7116433333333334,1.0478361286222935,4554,26,1,8.0099999999999,8
133,116.97100000000003,43,0.70892,1.0031923922625454,4597,35,0,8.028999999999892,8
134,-53.998999999999995,33,0.7068300000000001,0.9370079413056374,4630,25,1,7.9989999999998735,8
135,11.978000000000009,36,0.70455,1.0513135658370123,4666,28,0,8.021999999999885,8
136,-3.0050000000000523,37,0.7022066666666666,0.8836670882172055,4703,28,1,8.004999999999896,8
137,-63.00599999999997,34,0.7000533333333334,0.8802096313900418,4737,25,2,8.00599999999986,8
138,-33.03600000000006,33,0.6979633333333333,0.74104805290699,4770,25,0,8.035999999999868,8
139,11.981999999999971,37,0.69562,0.7737682196829054,4807,29,1,8.017999999999875,8
140,-18.020999999999958,35,0.6934033333333334,0.8287411000993516,4842,27,1,8.020999999999875,8
141,-78.00599999999997,33,0.6913133333333333,0.7845633774995804,4875,25,3,8.005999999999872,8
142,26.972000000000023,37,0.68897,0.7685608178377151,4912,29,0,8.02799999999987,8
143,41.99000000000004,38,0.6865633333333333,0.9247740772035387,4950,30,0,8.009999999999891,8
144,-33.02000000000004,35,0.6843466666666667,0.813224216302236,4985,27,2,8.019999999999865,8
145,11.97499999999988,36,0.6820666666666666,1.2185358670022752,5021,28,0,8.024999999999888,8
146,-93.00500000000008,32,0.68004,0.8670055419206619,5053,24,3,8.004999999999885,8
147,-33.02499999999998,33,0.67795,0.9738481193780899,5086,25,0,8.024999999999885,8
148,11.981000000000016,36,0.67567,0.9603955811924405,5122,28,0,8.018999999999869,8
149,-138.01599999999996,32,0.6736433333333334,1.049557276070118,5154,23,5,8.015999999999865,8
150,-93.00299999999999,29,0.6718066666666667,0.9047849816935403,5183,21,0,8.002999999999897,8
151,-48.00500000000006,33,0.6697166666666667,1.0050565136803522,5216,25,1,8.00499999999989,8
152,11.979000000000013,36,0.6674366666666667,1.0259089668591816,5252,28,0,8.02099999999989,8
